en,fr,it,de,es,ko,kana,pt
Sniper,Sniper,Cecchino,Superschütze,Francotirador,스나이퍼,スナイパー,Sniper
Magic Guard,Garde Magik,Magicscudo,Magieschild,Muro Mágico,매직가드,マジックガード,Magic Guard
No Guard,Annule Garde,Nullodifesa,Schildlos,Indefenso,노가드,ノーガード,No Guard
Stall,Frein,Rallentatore,Zeitspiel,Rezagado,시간벌기,あとだし,Stall
Technician,Technicien,Tecnico,Techniker,Experto,테크니션,テクニシャン,Technician
Leaf Guard,Feuille Garde,Fogliamanto,Floraschild,Defensa Hoja,리프가드,リーフガード,Leaf Guard
Klutz,Maladresse,Impaccio,Tollpatsch,Zoquete,서투름,ぶきよう,Klutz
Mold Breaker,Brise Moule,Rompiforma,Überbrückung,Rompemoldes,틀깨기,かたやぶり,Mold Breaker
Super Luck,Chanceux,Supersorte,Glückspilz,Afortunado,대운,きょううん,Super Luck
Aftermath,Boom Final,Scoppio,Finalschlag,Detonación,유폭,ゆうばく,Aftermath
Anticipation,Anticipation,Presagio,Vorahnung,Anticipación,위험예지,きけんよち,Anticipation
Forewarn,Prédiction,Premonizione,Vorwarnung,Alerta,예지몽,よちむ,Forewarn
Unaware,Inconscient,Imprudenza,Unkenntnis,Ignorante,천진,てんねん,Unaware
Tinted Lens,Lentiteintée,Lentifumé,Aufwertung,Cromolente,색안경,いろめがね,Tinted Lens
Filter,Filtre,Filtro,Filter,Filtro,필터,フィルター,Filter
Slow Start,Début Calme,Lentoinizio,Saumselig,Inicio Lento,슬로스타트,スロースタート,Slow Start
Scrappy,Querelleur,Nervisaldi,Rauflust,Intrépido,배짱,きもったま,Scrappy
Storm Drain,Lavabo,Acquascolo,Sturmsog,Colector,마중물,よびみず,Storm Drain
Ice Body,Corps Gel,Corpogelo,Eishaut,Gélido,아이스바디,アイスボディ,Ice Body
Solid Rock,Solide Roc,Solidroccia,Felskern,Roca Sólida,하드록,ハードロック,Solid Rock
Snow Warning,Alerte Neige,Scendineve,Hagelalarm,Nevada,눈퍼뜨리기,ゆきふらし,Snow Warning
Honey Gather,Cherche Miel,Mielincetta,Honigmaul,Recogemiel,꿀모으기,みつあつめ,Honey Gather
Frisk,Fouille,Indagine,Schnüffler,Cacheo,통찰,おみとおし,Frisk
Reckless,Téméraire,Temerarietà,Achtlos,Audaz,이판사판,すてみ,Reckless
Multitype,Multi-Type,Multitipo,Variabilität,Multitipo,멀티타입,マルチタイプ,Multitype
Flower Gift,Don Floral,Regalfiore,Pflanzengabe,Don Floral,플라워기프트,フラワーギフト,Flower Gift
Bad Dreams,Mauvais Rêve,Sogniamari,Alptraum,Mal Sueño,나이트메어,ナイトメア,Bad Dreams
Pickpocket,Pickpocket,Arraffalesto,Langfinger,Hurto,나쁜손버릇,わるいてぐせ,Pickpocket
Sheer Force,Sans Limite,Forzabruta,Rohe Gewalt,Potencia Bruta,우격다짐,ちからずく,Sheer Force
Contrary,Contestation,Inversione,Umkehrung,Respondón,심술꾸러기,あまのじゃく,Contrary
Unnerve,Tension,Agitazione,Anspannung,Nerviosismo,긴장감,きんちょうかん,Unnerve
Defiant,Acharné,Agonismo,Siegeswille,Competitivo,오기,まけんき,Defiant
Defeatist,Défaitiste,Sconforto,Schwächling,Flaqueza,무기력,よわき,Defeatist
Cursed Body,Corps Maudit,Corpofunesto,Tastfluch,Cuerpo Maldito,저주받은바디,のろわれボディ,Cursed Body
Healer,Cœur Soin,Curacuore,Heilherz,Alma Cura,치유의마음,いやしのこころ,Healer
Friend Guard,Garde-Ami,Amicoscudo,Freundeshut,Compiescolta,프렌드가드,フレンドガード,Friend Guard
Weak Armor,Armurouillée,Sottilguscio,Bruchrüstung,Armadura Frágil,깨어진갑옷,くだけるよろい,Weak Armor
Heavy Metal,Heavy Metal,Metalpesante,Schwermetall,Metal Pesado,헤비메탈,ヘヴィメタル,Heavy Metal
Light Metal,Light Metal,Metalleggero,Leichtmetall,Metal Liviano,라이트메탈,ライトメタル,Light Metal
Multiscale,Multiécaille,Multisquame,Multischuppe,Multiescamas,멀티스케일,マルチスケイル,Multiscale
Toxic Boost,Rage Poison,Velenimpeto,Giftwahn,Ímpetu Tóxico,독폭주,どくぼうそう,Toxic Boost
Flare Boost,Rage Brûlure,Bruciaimpeto,Hitzewahn,Ímpetu Ardiente,열폭주,ねつぼうそう,Flare Boost
Harvest,Récolte,Coglibacche,Reiche Ernte,Cosecha,수확,しゅうかく,Harvest
Telepathy,Télépathe,Telepatia,Telepathie,Telepatía,텔레파시,テレパシー,Telepathy
Moody,Lunatique,Altalena,Gefühlswippe,Veleta,변덕쟁이,ムラっけ,Moody
Overcoat,Envelocape,Copricapo,Partikelschutz,Funda,방진,ぼうじん,Overcoat
Poison Touch,Toxitouche,Velentocco,Giftgriff,Toque Tóxico,독수,どくしゅ,Poison Touch
Regenerator,Régé-Force,Rigenergia,Belebekraft,Regeneración,재생력,さいせいりょく,Regenerator
Big Pecks,Cœur de Coq,Pettinfuori,Brustbieter,Sacapecho,부풀린가슴,はとむね,Big Pecks
Sand Rush,Baigne Sable,Remasabbia,Sandscharrer,Ímpetu Arena,모래헤치기,すなかき,Sand Rush
Wonder Skin,Peau Miracle,Splendicute,Wunderhaut,Piel Milagro,미라클스킨,ミラクルスキン,Wonder Skin
Analytic,Analyste,Ponderazione,Analyse,Cálculo Final,애널라이즈,アナライズ,Analytic
Illusion,Illusion,Illusione,Trugbild,Ilusión,일루전,イリュージョン,Illusion
Imposter,Imposteur,Sosia,Doppelgänger,Impostor,괴짜,かわりもの,Imposter
Infiltrator,Infiltration,Intrapasso,Schwebedurch,Allanamiento,틈새포착,すりぬけ,Infiltrator
Mummy,Momie,Mummia,Mumie,Momia,미라,ミイラ,Mummy
Moxie,Impudence,Arroganza,Hochmut,Autoestima,자기과신,じしんかじょう,Moxie
Justified,Cœur Noble,Giustizia,Redlichkeit,Justiciero,정의의마음,せいぎのこころ,Justified
Rattled,Phobique,Paura,Hasenfuß,Cobardía,주눅,びびり,Rattled
Magic Bounce,Miroir Magik,Magispecchio,Magiespiegel,Espejo Mágico,매직미러,マジックミラー,Magic Bounce
Sap Sipper,Herbivore,Mangiaerba,Vegetarier,Herbívoro,초식,そうしょく,Sap Sipper
Prankster,Farceur,Burla,Strolch,Bromista,짓궂은마음,いたずらごころ,Prankster
Sand Force,Force Sable,Silicoforza,Sandgewalt,Poder Arena,모래의힘,すなのちから,Sand Force
Iron Barbs,Épine de Fer,Spineferrate,Eisenstachel,Punta Acero,철가시,てつのトゲ,Iron Barbs
Zen Mode,Mode Transe,Stato Zen,Trance-Modus,Modo Daruma,달마모드,ダルマモード,Zen Mode
Victory Star,Victorieux,Vittorstella,Triumphstern,Tinovictoria,승리의별,しょうりのほし,Victory Star
Turboblaze,Turbo Brasier,Piroturbina,Turbobrand,Turbollama,터보블레이즈,ターボブレイズ,Turboblaze
Teravolt,Téra-Voltage,Teravolt,Teravolt,Terravoltaje,테라볼티지,テラボルテージ,Teravolt
Aroma Veil,Aroma-Voile,Aromavelo,Dufthülle,Velo Aroma,아로마베일,アロマベール,Aroma Veil
Flower Veil,Flora-Voile,Fiorvelo,Blütenhülle,Velo Flor,플라워베일,フラワーベール,Flower Veil
Cheek Pouch,Bajoues,Guancegonfie,Backentaschen,Carrillo,볼주머니,ほおぶくろ,Cheek Pouch
Protean,Protéen,Mutatipo,Wandlungskunst,Mutatipo,변환자재,へんげんじざい,Protean
Fur Coat,Toison Épaisse,Foltopelo,Fellkleid,Pelaje Recio,퍼코트,ファーコート,Fur Coat
Magician,Magicien,Prestigiatore,Zauberer,Prestidigitador,매지션,マジシャン,Magician
Bulletproof,Pare-Balles,Antiproiettile,Kugelsicher,Antibalas,방탄,ぼうだん,Bulletproof
Competitive,Battant,Tenacia,Unbeugsamkeit,Tenacidad,승기,かちき,Competitive
Strong Jaw,Prognathe,Ferromascella,Titankiefer,Mandíbula Fuerte,옹골찬턱,がんじょうあご,Strong Jaw
Refrigerate,Peau Gelée,Pellegelo,Frostschicht,Piel Helada,프리즈스킨,フリーズスキン,Refrigerate
Sweet Veil,Gluco-Voile,Dolcevelo,Zuckerhülle,Velo Dulce,스위트베일,スイートベール,Sweet Veil
Stance Change,Déclic Tactique,Accendilotta,Taktikwechsel,Cambio Táctico,배틀스위치,バトルスイッチ,Stance Change
Gale Wings,Ailes Bourrasque,Aliraffica,Orkanschwingen,Alas Vendaval,질풍날개,はやてのつばさ,Gale Wings
Mega Launcher,Méga Blaster,Megalancio,Megawumme,Megadisparador,메가런처,メガランチャー,Mega Launcher
Grass Pelt,Toison Herbue,Peloderba,Pflanzenpelz,Manto Frondoso,풀모피,くさのけがわ,Grass Pelt
Symbiosis,Symbiose,Simbiosi,Nutznießer,Simbiosis,공생,きょうせい,Symbiosis
Tough Claws,Griffe Dure,Unghiedure,Krallenwucht,Garra Dura,단단한발톱,かたいツメ,Tough Claws
Pixilate,Peau Féérique,Pellefolletto,Feenschicht,Piel Feérica,페어리스킨,フェアリースキン,Pixilate
Gooey,Poisseux,Viscosità,Viskosität,Baba,미끈미끈,ぬめぬめ,Gooey
Aerilate,Peau Céleste,Pellecielo,Zenithaut,Piel Celeste,스카이스킨,スカイスキン,Aerilate
Parental Bond,Amour Filial,Amorefiliale,Familienbande,Amor Filial,부자유친,おやこあい,Parental Bond
Dark Aura,Aura Ténébreuse,Auratetra,Dunkelaura,Aura Oscura,다크오라,ダークオーラ,Dark Aura
Fairy Aura,Aura Féérique,Aurafolletto,Feenaura,Aura Feérica,페어리오라,フェアリーオーラ,Fairy Aura
Aura Break,Aura Inversée,Frangiaura,Aura-Umkehr,Rompeaura,오라브레이크,オーラブレイク,Aura Break
Primordial Sea,Mer Primaire,Mare Primordiale,Urmeer,Mar del Albor,시작의바다,はじまりのうみ,Primordial Sea
Desolate Land,Terre Finale,Terra Estrema,Endland,Tierra del Ocaso,끝의대지,おわりのだいち,Desolate Land
Delta Stream,Souffle Delta,Flusso Delta,Delta-Wind,Ráfaga Delta,델타스트림,デルタストリーム,Delta Stream
Stamina,Endurance,Sopportazione,Zähigkeit,Firmeza,지구력,じきゅうりょく,Stamina
Wimp Out,Escampette,Fuggifuggi,Reißaus,Huida,도망태세,にげごし,Wimp Out
Emergency Exit,Repli Tactique,Passoindietro,Rückzug,Retirada,위기회피,ききかいひ,Emergency Exit
Water Compaction,Sable Humide,Idrorinforzo,Verklumpen,Hidrorrefuerzo,꾸덕꾸덕굳기,みずがため,Water Compaction
Merciless,Cruauté,Spietatezza,Quälerei,Ensañamiento,무도한행동,ひとでなし,Merciless
Shields Down,Bouclier-Carcan,Scudosoglia,Limitschild,Escudo Limitado,리밋실드,リミットシールド,Shields Down
Stakeout,Filature,Sorveglianza,Beschattung,Vigilante,잠복,はりこみ,Stakeout
Water Bubble,Aquabulle,Bolladacqua,Wasserblase,Pompa,수포,すいほう,Water Bubble
Steelworker,Expert Acier,Tempracciaio,Stahlprofi,Acero Templado,강철술사,はがねつかい,Steelworker
Berserk,Dracolère,Furore,Wutausbruch,Cólera,발끈,ぎゃくじょう,Berserk
Slush Rush,Chasse-Neige,Spalaneve,Schneescharrer,Quitanieves,눈치우기,ゆきかき,Slush Rush
Long Reach,Longue Portée,Distacco,Langstrecke,Remoto,원격,えんかく,Long Reach
Liquid Voice,Hydrata-Son,Idrovoce,Plätscherstimme,Voz Fluida,촉촉보이스,うるおいボイス,Liquid Voice
Triage,Prioguérison,Primacura,Heilwandel,Primer Auxilio,힐링시프트,ヒーリングシフト,Triage
Galvanize,Peau Électrique,Pellelettro,Elektrohaut,Piel Eléctrica,일렉트릭스킨,エレキスキン,Galvanize
Surge Surfer,Surf Caudal,Codasurf,Surf-Schweif,Cola Surf,서핑테일,サーフテール,Surge Surfer
Schooling,Banc,Banco,Fischschwarm,Banco,어군,ぎょぐん,Schooling
Disguise,Fantômasque,Fantasmanto,Kostümspuk,Disfraz,탈,ばけのかわ,Disguise
Battle Bond,Synergie,Morfosintonia,Freundschaftsakt,Fuerte Afecto,유대변화,きずなへんげ,Battle Bond
Power Construct,Rassemblement,Sciamefusione,Scharwandel,Agrupamiento,스웜체인지,スワームチェンジ,Power Construct
Corrosion,Corrosion,Corrosione,Korrosion,Corrosión,부식,ふしょく,Corrosion
Comatose,Hypersommeil,Sonno Assoluto,Dauerschlaf,Letargo Perenne,절대안깸,ぜったいねむり,Comatose
Queenly Majesty,Prestance Royale,Regalità,Majestät,Regia Presencia,여왕의위엄,じょおうのいげん,Queenly Majesty
Innards Out,Expuls’Organes,Espellinterno,Magenkrempler,Revés,내용물분출,とびだすなかみ,Innards Out
Dancer,Danseur,Sincrodanza,Tänzer,Pareja de Baile,무희,おどりこ,Dancer
Battery,Batterie,Batteria,Batterie,Batería,배터리,バッテリー,Battery
Fluffy,Boule de Poils,Morbidone,Flauschigkeit,Peluche,복슬복슬,もふもふ,Fluffy
Dazzling,Corps Coloré,Corposgargiante,Buntkörper,Cuerpo Vívido,비비드바디,ビビッドボディ,Dazzling
Soul-Heart,Animacœur,Cuoreanima,Valanguyenherz,Coránima,소울하트,ソウルハート,Soul-Heart
Tangling Hair,Mèche Rebelle,Boccolidoro,Lockenkopf,Rizos Rebeldes,컬리헤어,カーリーヘアー,Tangling Hair
Receiver,Receveur,Ricezione,Receiver,Receptor,리시버,レシーバー,Receiver
Power of Alchemy,Osmose,Forza Chimica,Chemiekraft,Reacción Química,과학의힘,かがくのちから,Power of Alchemy
Beast Boost,Boost Chimère,Ultraboost,Bestien-Boost,Ultraimpulso,비스트부스트,ビーストブースト,Beast Boost
RKS System,Système Alpha,Sistema Primevo,Alpha-System,Sistema Alfa,AR시스템,ＡＲシステム,RKS System
Electric Surge,Créa-Élec,Elettrogenesi,Elektro-Erzeuger,Electrogénesis,일렉트릭메이커,エレキメイカー,Electric Surge
Psychic Surge,Créa-Psy,Psicogenesi,Psycho-Erzeuger,Psicogénesis,사이코메이커,サイコメイカー,Psychic Surge
Misty Surge,Créa-Brume,Nebbiogenesi,Nebel-Erzeuger,Nebulogénesis,미스트메이커,ミストメイカー,Misty Surge
Grassy Surge,Créa-Herbe,Erbogenesi,Gras-Erzeuger,Herbogénesis,그래스메이커,グラスメイカー,Grassy Surge
Full Metal Body,Métallo-Garde,Metalprotezione,Metallprotektor,Guardia Metálica,메탈프로텍트,メタルプロテクト,Full Metal Body
Shadow Shield,Spectro-Bouclier,Spettroguardia,Phantomschutz,Guardia Espectro,스펙터가드,ファントムガード,Shadow Shield
Prism Armor,Prisme-Armure,Scudoprisma,Prismarüstung,Armadura Prisma,프리즘아머,プリズムアーマー,Prism Armor
Neuroforce,Cérébro-Force,Cerebroforza,Zerebralmacht,Fuerza Cerebral,브레인포스,ブレインフォース,Neuroforce
Intrepid Sword,Lame Indomptable,Spada Indomita,Kühnes Schwert,Espada Indómita,불요의검,ふとうのけん,Intrepid Sword
Dauntless Shield,Égide Inflexible,Scudo Saldo,Wackerer Schild,Escudo Recio,불굴의방패,ふくつのたて,Dauntless Shield
Libero,Libéro,Libero,Libero,Líbero,리베로,リベロ,Libero
Ball Fetch,Ramasse Ball,Raccattapalle,Apport,Recogebolas,볼줍기,たまひろい,Ball Fetch
Cotton Down,Effilochage,Lanugine,Wollflaum,Pelusa,솜털,わたげ,Cotton Down
Propeller Tail,Propulseur,Elicopinna,Schraubflosse,Hélice Caudal,스크루지느러미,スクリューおびれ,Propeller Tail
Mirror Armor,Armure Miroir,Blindospecchio,Spiegelrüstung,Coraza Reflejo,미러아머,ミラーアーマー,Mirror Armor
Gulp Missile,Dégobage,Inghiottimissile,Würggeschoss,Tragamisil,그대로꿀꺽미사일,うのミサイル,Gulp Missile
Stalwart,Nerfs d’Acier,Volontà di Ferro,Stahlrückgrat,Acérrimo,굳건한신념,すじがねいり,Stalwart
Steam Engine,Turbine,Vapormacchina,Dampfantrieb,Combustible,증기기관,じょうききかん,Steam Engine
Punk Rock,Punk Rock,Punk Rock,Punk Rock,Punk Rock,펑크록,パンクロック,Punk Rock
Sand Spit,Expul’Sable,Sputasabbia,Sandspeier,Expulsarena,모래뿜기,すなはき,Sand Spit
Ice Scales,Écailles Glacées,Geloscaglie,Eisflügelstaub,Escama de Hielo,얼음인분,こおりのりんぷん,Ice Scales
Ripen,Mûrissement,Maturazione,Heranreifen,Maduración,숙성,じゅくせい,Ripen
Ice Face,Tête de Gel,Gelofaccia,Tiefkühlkopf,Cara de Hielo,아이스페이스,アイスフェイス,Ice Face
Power Spot,Cercle d’Énergie,Fonte Energetica,Kraftquelle,Fuente Energía,파워스폿,パワースポット,Power Spot
Mimicry,Mimétisme,Mimetismo,Mimese,Mimetismo,의태,ぎたい,Mimicry
Screen Cleaner,Brise-Barrière,Annullabarriere,Hemmungslos,Antibarrera,배리어프리,バリアフリー,Screen Cleaner
Steely Spirit,Boost Acier,Spiritoferreo,Stählerner Wille,Alma Acerada,강철정신,はがねのせいしん,Steely Spirit
Perish Body,Corps Condamné,Ultimotocco,Unheilskörper,Cuerpo Mortal,멸망의바디,ほろびのボディ,Perish Body
Wandering Spirit,Âme Vagabonde,Anima Errante,Rastlose Valanguye,Alma Errante,떠도는영혼,さまようたましい,Wandering Spirit
Gorilla Tactics,Entêtement,Vigorilla,Affenfokus,Monotema,무아지경,ごりむちゅう,Gorilla Tactics
Neutralizing Gas,Gaz Inhibiteur,Gas Reagente,Reaktionsgas,Gas Reactivo,화학변화가스,かがくへんかガス,Neutralizing Gas
Pastel Veil,Voile Pastel,Pastelvelo,Pastellhülle,Velo Pastel,파스텔베일,パステルベール,Pastel Veil
Hunger Switch,Déclic Fringale,Pancialterna,Heißhunger,Mutapetito,꼬르륵스위치,はらぺこスイッチ,Hunger Switch
Quick Draw,Tir Vif,Colpolesto,Schnellschuss,Mano Rápida,퀵드로,クイックドロウ,Quick Draw
Unseen Fist,Poing Invisible,Pugni Invisibili,Verborgene Faust,Puño Invisible,보이지않는주먹,ふかしのこぶし,Unseen Fist
